Anime Title,Date of Release,Score,Member,Producer,Genre,Number of Episodes,Sources,Format,Licensor,Format0,Genre0,Genre1,Genre2,Genre3,Genre4,Genre Count,Licensor0,Licensor1,Licensor2
Cool Cool Bye,"Jan 21, 1986",4.99,1042,Studio Bogey,"Action,Adventure,Fantasy",1 ep,Original,"      OVA -                        Jan 21, 1986              ",,      OVA ,Action,Adventure,Fantasy,,,3,,,
Injuu Seisen XX,"Jun 13, 1997",5.49,1038,Arms,"Action,Hentai,Supernatural",4 eps,Original,"      OVA -                        Jun 13, 1997              ","Central Park Media,",      OVA ,Action,Hentai,Supernatural,,,3,Central Park Media,,
Chou no Sainan,"??? ??, 1931",5.36,1034,N/A,Action,1 ep,Original,"      Movie -                        ??? ??, 1931              ",,      Movie ,Action,,,,,1,,,
Shin Onimusha: Dawn of Dreams the Story,"Jul 26, 2006",5.93,1032,N/A,"Action,Historical,Demons,Martial Arts,Samurai",1 ep,-,"      OVA -                        Jul 26, 2006              ","Media Blasters,",      OVA ,Action,Historical,Demons,Martial Arts,Samurai,5,Media Blasters,,
Circuit Angel: Ketsui no Starting Grid,"May 21, 1987",5.44,1029,Studio Unicorn,"Action,Sports",1 ep,Original,"      OVA -                        May 21, 1987              ",,      OVA ,Action,Sports,,,,2,,,
Tomoe ga Yuku!,"Oct 21, 1991",5.37,1029,animate Film,"Action,Drama,Romance,Thriller,Shoujo",2 eps,Manga,"      OVA -                        Oct 21, 1991              ",,      OVA ,Action,Drama,Romance,Thriller,Shoujo,5,,,
Puso Ni Comi,"Jan 8, 2019",6.6,1027,N/A,"Action,Game,Sci-Fi,Comedy,Parody,School",20 eps,Web manga,"      ONA -                        Jan 8, 2019              ",,      ONA ,Action,Game,Sci-Fi,Comedy,Parody,6,,,
Lost Utopia,"??? ??, 2007",4.72,1022,Mirai Film,"Action,Fantasy,Supernatural,Music,Seinen",1 ep,-,"      Movie -                        ??? ??, 2007              ",,      Movie ,Action,Fantasy,Supernatural,Music,Seinen,5,,,
Wan Jie Chun Qiu,"Apr 13, 2020",6.48,1022,N/A,"Action,Adventure,Historical,Magic,Romance,Martial Arts,Fantasy",56 eps,Original,"      ONA -                        Apr 13, 2020              ",,      ONA ,Action,Adventure,Historical,Magic,Romance,7,,,
Kinnikuman II Sei: Muscle Ninjin Soudatsu sen! Choujin Daisensou,"Jul 20, 2002",6.62,1021,Toei Animation,"Action,Comedy,Drama,Romance,Martial Arts,Samurai",1 ep,-,"      Movie -                        Jul 20, 2002              ",,      Movie ,Action,Comedy,Drama,Romance,Martial Arts,6,,,
Maze☆Bakunetsu Jikuu: Hot Springs,"??? ??, 1998",6.17,1019,N/A,"Action,Comedy,Ecchi,Fantasy",1 ep,Manga,"      Special -                        ??? ??, 1998              ",,      Special ,Action,Comedy,Ecchi,Fantasy,,4,,,
Me gumi no Daigo: Kajiba no Baka Yarou,"Jul 27, 1999",6.23,1016,Sunrise,"Action,Drama",1 ep,Manga,"      Movie -                        Jul 27, 1999              ",,      Movie ,Action,Drama,,,,2,,,
Bari Bari Densetsu,"May 10, 1986",6.39,1014,Studio Pierrot,"Action,Drama,Shounen,Sports",2 eps,Manga,"      OVA -                        May 10, 1986              ",,      OVA ,Action,Drama,Shounen,Sports,,4,,,
Kamen Rider Fourze x Crayon Shin-chan,"Apr 13, 2012",5.82,1012,N/A,"Action,Comedy,Seinen",4 eps,-,"      Special -                        Apr 13, 2012              ",,      Special ,Action,Comedy,Seinen,,,3,,,
AWOL,"Jan 7, 1998, 01:45 (JST)",5.55,1009,Studio Deen,"Action,Space,Military,Sci-Fi",12 eps,Original,"      TV -                        Jan 7, 1998, 01:45 (JST)              ","Bandai Entertainment,",      TV ,Action,Space,Military,Sci-Fi,,4,Bandai Entertainment,,
Muu no Hakugei,"Apr 4, 1980, 18:00 (JST)",6.32,1009,N/A,"Action,Fantasy,Sci-Fi",26 eps,Original,"      TV -                        Apr 4, 1980, 18:00 (JST)              ",,      TV ,Action,Fantasy,Sci-Fi,,,3,,,
Hibari no Yadogae,"Jan 31, 1933",4.89,1008,N/A,Action,1 ep,Original,"      Movie -                        Jan 31, 1933              ",,      Movie ,Action,,,,,1,,,
Doubutsu Sumo Taikai,"??? ??, 1931",4.7,1007,N/A,Action,1 ep,Original,"      Movie -                        ??? ??, 1931              ",,      Movie ,Action,,,,,1,,,
Bounty Hunter: The Hard,"May 1, 1996",5.77,1005,J.C.Staff,"Action,Police",1 ep,Manga,"      OVA -                        May 1, 1996              ",,      OVA ,Action,Police,,,,2,,,
Kara The Animation,"Mar 1, 2013",5.35,1004,N/A,Action,5 eps,-,"      TV -                        Mar 1, 2013              ",,      TV ,Action,,,,,1,,,
Xin Shen Bang: Nezha Chonsheng,"Feb 12, 2021",7.33,1004,Light Chaser Animation Studios,"Action,Fantasy,Sci-Fi",1 ep,Original,"      Movie -                        Feb 12, 2021              ",,      Movie ,Action,Fantasy,Sci-Fi,,,3,,,
Golden Batman,"??? ??, 1979",4.45,1002,N/A,"Action,Kids",1 ep,-,"      Movie -                        ??? ??, 1979              ",,      Movie ,Action,Kids,,,,2,,,
Believe,"Apr 3, 2008",5.7,999,Tatsunoko Production,"Action,Super Power,Music",1 ep,-,"      Music -                        Apr 3, 2008              ",,      Music ,Action,Super Power,Music,,,3,,,
Duel Masters!,"Apr 1, 2018, 08:30 (JST)",5.82,999,Ascension,"Action,Adventure,Comedy,Shounen",51 eps,Original,"      TV -                        Apr 1, 2018, 08:30 (JST)              ",,      TV ,Action,Adventure,Comedy,Shounen,,4,,,
Majuu Sensen,"Oct 1, 1990",5.98,998,N/A,"Action,Fantasy",3 eps,-,"      OVA -                        Oct 1, 1990              ",,      OVA ,Action,Fantasy,,,,2,,,
Marvel Future Avengers 2nd Season,"Jul 30, 2018, 18:00 (JST)",5.91,995,Madhouse,"Action,Super Power,Kids",13 eps,Other,"      TV -                        Jul 30, 2018, 18:00 (JST)              ",,      TV ,Action,Super Power,Kids,,,3,,,
Jetter Mars,"Feb 3, 1977",6.17,993,Toei Animation,"Action,Drama,Mecha,Sci-Fi",27 eps,Original,"      TV -                        Feb 3, 1977              ",,      TV ,Action,Drama,Mecha,Sci-Fi,,4,,,
Battle Can²,"May 25, 1987",4.43,991,N/A,"Action,Hentai,Sci-Fi",1 ep,-,"      OVA -                        May 25, 1987              ","Media Blasters,",      OVA ,Action,Hentai,Sci-Fi,,,3,Media Blasters,,
Ninjutsu Hinotama Kozou: Edo no Maki,"Nov 9, 1935",4.06,991,N/A,Action,1 ep,Original,"      Movie -                        Nov 9, 1935              ",,      Movie ,Action,,,,,1,,,
Shao Nian Ge Xing,"Dec 26, 2018",6.89,989,CG Year,"Action,Adventure,Mystery,Historical,Martial Arts",26 eps,Novel,"      ONA -                        Dec 26, 2018              ",,      ONA ,Action,Adventure,Mystery,Historical,Martial Arts,5,,,
Tokusou Kihei Dorvack,"Oct 7, 1983",6.17,985,N/A,"Action,Mecha,Sci-Fi",36 eps,-,"      TV -                        Oct 7, 1983              ",,      TV ,Action,Mecha,Sci-Fi,,,3,,,
Track City,"Jan 5, 2000",6.18,983,SBS TV Production,"Action,Cars",26 eps,-,"      TV -                        Jan 5, 2000              ",,      TV ,Action,Cars,,,,2,,,
Wang Gu Shenhua Zhi Tian Xuanzhe,"Apr 7, 2020",6.12,981,Congzhuo Animation,"Action,Sci-Fi",12 eps,Original,"      ONA -                        Apr 7, 2020              ",,      ONA ,Action,Sci-Fi,,,,2,,,
Nekketsu Saikyou Go-Saurer,"Mar 3, 1993, 18:00 (JST)",6.74,980,Sunrise,"Action,Sci-Fi,Mecha",51 eps,Original,"      TV -                        Mar 3, 1993, 18:00 (JST)              ",,      TV ,Action,Sci-Fi,Mecha,,,3,,,
Honoo no Mirage: Muyou no Michi,"Feb 4, 2002",6.11,970,Madhouse,"Action,Historical,Supernatural,Drama,Romance,School,Shounen Ai",1 ep,Light novel,"      Special -                        Feb 4, 2002              ",,      Special ,Action,Historical,Supernatural,Drama,Romance,7,,,
High School Agent,"Jul 1, 1987",5.47,967,J.C.Staff,"Action,Drama,Military",2 eps,Manga,"      OVA -                        Jul 1, 1987              ",,      OVA ,Action,Drama,Military,,,3,,,
Nezumi no Rusuban,"??? ??, 1931",4.57,967,N/A,Action,1 ep,Original,"      Movie -                        ??? ??, 1931              ",,      Movie ,Action,,,,,1,,,
Vampiyan Kids: Pilot,"??? ??, 1999",6.1,963,Production I.G,"Action,Comedy,Kids,Vampire",1 ep,Original,"      Special -                        ??? ??, 1999              ",,      Special ,Action,Comedy,Kids,Vampire,,4,,,
Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu,"Sep 23, 1988",5.99,959,J.C.Staff,"Action,Adventure,Super Power",1 ep,Original,"      OVA -                        Sep 23, 1988              ",,      OVA ,Action,Adventure,Super Power,,,3,,,
Majokko Club Yoningumi: A Kuukan kara no Alien X,"Jul 28, 1987",5.74,959,Studio Pierrot,"Action,Parody,Magic,Comedy,Sci-Fi",1 ep,Original,"      OVA -                        Jul 28, 1987              ",,      OVA ,Action,Parody,Magic,Comedy,Sci-Fi,5,,,
Juusenki L-Gaim III: Full Metal Soldier,"Mar 28, 1987",6.34,954,Sunrise,"Action,Mecha,Sci-Fi,Shounen",1 ep,-,"      OVA -                        Mar 28, 1987              ",,      OVA ,Action,Mecha,Sci-Fi,Shounen,,4,,,
Moeru! Oniisan,"Mar 14, 1988",6.2,947,Studio Pierrot,"Action,Adventure,Comedy",24 eps,Manga,"      TV -                        Mar 14, 1988              ",,      TV ,Action,Adventure,Comedy,,,3,,,
Gegege no Kitarou: Nippon Bakuretsu,"Dec 20, 2008",6.44,945,Toei Animation,"Action,Fantasy,Horror,Kids,Shounen,Supernatural",1 ep,-,"      Movie -                        Dec 20, 2008              ",,      Movie ,Action,Fantasy,Horror,Kids,Shounen,6,,,
Duel Masters VS,"Apr 5, 2014",5.81,942,Ascension,"Action,Adventure,Comedy,Shounen",49 eps,Original,"      TV -                        Apr 5, 2014              ",,      TV ,Action,Adventure,Comedy,Shounen,,4,,,
Kyouryuu Daisensou Izenborg,"Oct 7, 1977",6.59,939,N/A,"Action,Mecha",39 eps,Original,"      TV -                        Oct 7, 1977              ",,      TV ,Action,Mecha,,,,2,,,
Initial D Battle Stage 3,"Mar 5, 2021",6.6,936,N/A,"Action,Cars,Sports",1 ep,Manga,"      OVA -                        Mar 5, 2021              ",,      OVA ,Action,Cars,Sports,,,3,,,
Wo Jia Da Shixiong Shi Ge Fanpai,"Oct 29, 2020",6.83,935,N/A,"Action,Adventure,Comedy,Historical,Martial Arts",13 eps,Manga,"      ONA -                        Oct 29, 2020              ",,      ONA ,Action,Adventure,Comedy,Historical,Martial Arts,5,,,
Cure Miracle to Mofurun no Mahou Lesson,"Oct 29, 2016",5.79,934,N/A,"Action,Slice of Life,Magic,Fantasy,School,Shoujo",1 ep,Original,"      Movie -                        Oct 29, 2016              ",,      Movie ,Action,Slice of Life,Magic,Fantasy,School,6,,,
Qin Shi Ming Yue 3D: Dianying Longteng Wanli,"Aug 8, 2014",6.38,934,Sparkly Key Animation Studio,"Action,Historical,Martial Arts,Fantasy",1 ep,Novel,"      Movie -                        Aug 8, 2014              ",,      Movie ,Action,Historical,Martial Arts,Fantasy,,4,,,
Duel Masters Movie 2: Lunatic God Saga,"Sep 19, 2009",5.94,933,N/A,"Action,Adventure,Comedy,Shounen",1 ep,Original,"      Movie -                        Sep 19, 2009              ",,      Movie ,Action,Adventure,Comedy,Shounen,,4,,,
Magnerobo Ga-Keen,"Sep 5, 1976",6.21,933,Toei Animation,"Action,Mecha,Sci-Fi",39 eps,Original,"      TV -                        Sep 5, 1976              ",,      TV ,Action,Mecha,Sci-Fi,,,3,,,
Duel Masters Victory V3,"Apr 6, 2013",5.87,932,N/A,"Action,Adventure,Comedy,Shounen",51 eps,Original,"      TV -                        Apr 6, 2013              ",,      TV ,Action,Adventure,Comedy,Shounen,,4,,,
Kuiba: Zhi Shiwanhuoji,"Jul 8, 2011",6.49,931,N/A,"Action,Kids,Adventure,Fantasy",1 ep,Original,"      Movie -                        Jul 8, 2011              ",,      Movie ,Action,Kids,Adventure,Fantasy,,4,,,
Toukiden: The Age of Demons - Introduction,"Jun 26, 2013",5.84,931,Studio 4°C,"Action,Demons",1 ep,-,"      Special -                        Jun 26, 2013              ",,      Special ,Action,Demons,,,,2,,,
Ai no Senshi Rainbowman,"Oct 10, 1982",6.43,928,N/A,"Action,Adventure,Mecha,Sci-Fi",22 eps,Other,"      TV -                        Oct 10, 1982              ",,      TV ,Action,Adventure,Mecha,Sci-Fi,,4,,,
Dubu Xiaoyao,"Jun 18, 2020",6.62,927,Soyep,"Action,Martial Arts",160 eps,Novel,"      ONA -                        Jun 18, 2020              ",,      ONA ,Action,Martial Arts,,,,2,,,
Junk Story: Tetsukuzu Monogatari,"Jan 21, 1999",4.96,927,N/A,"Action,Sci-Fi,Hentai",1 ep,-,"      OVA -                        Jan 21, 1999              ",,      OVA ,Action,Sci-Fi,Hentai,,,3,,,
Gegege no Kitarou: Daikaijuu,"Jul 6, 1996",6.24,926,Toei Animation,"Action,Fantasy,Horror,Shounen,Supernatural",1 ep,-,"      Movie -                        Jul 6, 1996              ",,      Movie ,Action,Fantasy,Horror,Shounen,Supernatural,5,,,
Compiler Festa,"Dec 21, 1995",5.34,924,N/A,"Action,Sci-Fi,Drama",1 ep,-,"      OVA -                        Dec 21, 1995              ","ADV Films,",      OVA ,Action,Sci-Fi,Drama,,,3,ADV Films,,
Bavi Stock,"Dec 10, 1985",5.02,923,Kaname Productions,"Action,Sci-Fi,Adventure,Fantasy",2 eps,Novel,"      OVA -                        Dec 10, 1985              ",,      OVA ,Action,Sci-Fi,Adventure,Fantasy,,4,,,
Issunboushi: Chibisuke Monogatari,"May 8, 1935",5.06,923,N/A,"Action,Samurai",1 ep,Original,"      Movie -                        May 8, 1935              ",,      Movie ,Action,Samurai,,,,2,,,
Ultraman USA,"Apr 15, 1989",5.66,923,N/A,"Action,Adventure,Sci-Fi",1 ep,Other,"      Movie -                        Apr 15, 1989              ",,      Movie ,Action,Adventure,Sci-Fi,,,3,,,
Gundam: G no Reconguista Movie II - Bellri Gekishin,"Feb 21, 2020",6.2,921,Sunrise,"Action,Sci-Fi,Space,Mecha",1 ep,Original,"      Movie -                        Feb 21, 2020              ",,      Movie ,Action,Sci-Fi,Space,Mecha,,4,,,
Haruwo,"May 5, 2005",4.79,921,N/A,Action,1 ep,Original,"      OVA -                        May 5, 2005              ",,      OVA ,Action,,,,,1,,,
Kikou Keisatsu Metal Jack,"Apr 8, 1991",6.28,921,Sunrise,"Action,Sci-Fi,Police,Mecha",37 eps,Original,"      TV -                        Apr 8, 1991              ",,      TV ,Action,Sci-Fi,Police,Mecha,,4,,,
Toukiden Kiwami,"Aug 8, 2014",5.57,920,Studio 4°C,"Action,Fantasy,Martial Arts",1 ep,-,"      ONA -                        Aug 8, 2014              ",,      ONA ,Action,Fantasy,Martial Arts,,,3,,,
Mahjong Hishouden: Naki no Ryuu,"May 25, 1988",5.93,914,Gainax,"Action,Drama,Game,Seinen",3 eps,Manga,"      OVA -                        May 25, 1988              ",,      OVA ,Action,Drama,Game,Seinen,,4,,,
Feng Yu Zhou,"Aug 3, 2018",7.07,913,Beijing Rocen Digital,"Action,Adventure,Comedy,Historical,Super Power,Demons,Drama,Fantasy",1 ep,Original,"      Movie -                        Aug 3, 2018              ",,      Movie ,Action,Adventure,Comedy,Historical,Super Power,8,,,
Ling Long: Incarnation Part 2,"Jul 31, 2020",7.48,913,YHKT Entertainment,"Action,Sci-Fi,Horror,Demons,Drama,Thriller",6 eps,Original,"      ONA -                        Jul 31, 2020              ",,      ONA ,Action,Sci-Fi,Horror,Demons,Drama,6,,,
Croket!,"Apr 7, 2003, 18:30 (JST)",6.88,907,OLM,"Action,Adventure,Comedy,Fantasy",104 eps,Manga,"      TV -                        Apr 7, 2003, 18:30 (JST)              ",,      TV ,Action,Adventure,Comedy,Fantasy,,4,,,
Ginga Reppuu Baxingar,"Jul 6, 1982",6.28,906,Kokusai Eigasha,"Action,Adventure,Mecha",39 eps,Original,"      TV -                        Jul 6, 1982              ",,      TV ,Action,Adventure,Mecha,,,3,,,
Ginga Shippuu Sasuraiger,"Apr 5, 1983",6.31,903,N/A,"Action,Adventure,Mecha",43 eps,Original,"      TV -                        Apr 5, 1983              ",,      TV ,Action,Adventure,Mecha,,,3,,,
Xiong Bing Lian,"Jun 1, 2017",6.07,903,N/A,"Action,Military,Sci-Fi,Mystery,Space,Supernatural,Mecha",33 eps,Original,"      ONA -                        Jun 1, 2017              ",,      ONA ,Action,Military,Sci-Fi,Mystery,Space,7,,,
Dochinpira,"Aug 27, 1993",5.17,901,N/A,"Action,Comedy,Hentai",1 ep,-,"      OVA -                        Aug 27, 1993              ",,      OVA ,Action,Comedy,Hentai,,,3,,,
Kouryuu no Mimi: Mina no Shou,"Apr 26, 1995",5.09,898,OLM,"Action,Super Power,Drama",2 eps,Manga,"      OVA -                        Apr 26, 1995              ",,      OVA ,Action,Super Power,Drama,,,3,,,
Blue Seagull,"Nov 5, 1994",4.22,891,N/A,"Action,Hentai",1 ep,-,"      Movie -                        Nov 5, 1994              ",,      Movie ,Action,Hentai,,,,2,,,
Furudera no Obake-soudou,"??? ??, 1936",5.12,891,N/A,"Action,Adventure",1 ep,Original,"      Movie -                        ??? ??, 1936              ",,      Movie ,Action,Adventure,,,,2,,,
Qin Shi Ming Yue: Junlin Tianxia,"Dec 25, 2014",6.94,890,Sparkly Key Animation Studio,"Action,Historical,Martial Arts,Fantasy",75 eps,Novel,"      ONA -                        Dec 25, 2014              ",,      ONA ,Action,Historical,Martial Arts,Fantasy,,4,,,
Duel Masters Victory V,"Apr 7, 2012",5.92,889,N/A,"Action,Adventure,Comedy,Shounen",51 eps,Original,"      TV -                        Apr 7, 2012              ",,      TV ,Action,Adventure,Comedy,Shounen,,4,,,
Psychoarmor Govarian,"Jul 6, 1983",6.09,889,Knack Productions,"Action,Mecha,Super Power,Sci-Fi",26 eps,Original,"      TV -                        Jul 6, 1983              ","Discotek Media,",      TV ,Action,Mecha,Super Power,Sci-Fi,,4,Discotek Media,,
Chiisana Kyojin Microman,"Jan 4, 1999, 18:00 (JST)",6.25,887,Studio Pierrot,"Action,Adventure,Comedy,Kids,Mecha,Sci-Fi,Shounen,Super Power",52 eps,Other,"      TV -                        Jan 4, 1999, 18:00 (JST)              ",,      TV ,Action,Adventure,Comedy,Kids,Mecha,8,,,
Yakyuukyou no Uta,"Dec 23, 1977",6.46,886,Nippon Animation,"Action,Drama,Sports",25 eps,Manga,"      TV -                        Dec 23, 1977              ",,      TV ,Action,Drama,Sports,,,3,,,
Scoopers,"Dec 1, 1987",5.34,884,N/A,"Action,Sci-Fi",1 ep,Manga,"      OVA -                        Dec 1, 1987              ",,      OVA ,Action,Sci-Fi,,,,2,,,
Wan Jie Xian Zong 4th Season,"Sep 14, 2020",7.17,884,Ruo Hong Culture,"Action,Historical,Demons,Romance,Fantasy",48 eps,Web manga,"      ONA -                        Sep 14, 2020              ",,      ONA ,Action,Historical,Demons,Romance,Fantasy,5,,,
Uchuu Taitei God Sigma,"Mar 19, 1980",6.35,883,Toei Animation,"Action,Space,Mecha",50 eps,-,"      TV -                        Mar 19, 1980              ",,      TV ,Action,Space,Mecha,,,3,,,
Qin Shi Ming Yue: Tian Xing Jiu Ge 2nd Season,"Apr 24, 2019",6.56,882,Sparkly Key Animation Studio,"Action,Historical,Martial Arts,Fantasy",30 eps,Original,"      ONA -                        Apr 24, 2019              ",,      ONA ,Action,Historical,Martial Arts,Fantasy,,4,,,
Magma Taishi,"Feb 21, 1993",5.93,879,N/A,"Action,Sci-Fi,Space,Super Power,Shounen",13 eps,Manga,"      OVA -                        Feb 21, 1993              ",,      OVA ,Action,Sci-Fi,Space,Super Power,Shounen,5,,,
Haai Step Jun,"Mar 10, 1985, 08:30 (JST)",6.38,877,Toei Animation,"Action,Romance,School,Sci-Fi",45 eps,Manga,"      TV -                        Mar 10, 1985, 08:30 (JST)              ",,      TV ,Action,Romance,School,Sci-Fi,,4,,,
Chouon Senshi Borgman: Lovers Rain,"Dec 1, 1990",5.78,873,Production Reed,"Action,Sci-Fi,Demons",1 ep,Other,"      Movie -                        Dec 1, 1990              ",,      Movie ,Action,Sci-Fi,Demons,,,3,,,
Xixing Ji,"Jul 18, 2018",6.75,873,BYMENT,"Action,Adventure,Historical,Martial Arts,Fantasy",16 eps,Manga,"      ONA -                        Jul 18, 2018              ",,      ONA ,Action,Adventure,Historical,Martial Arts,Fantasy,5,,,
Wonder Beat Scramble,"Apr 16, 1986",6.53,869,Mushi Production,"Action,Space,Sci-Fi",26 eps,-,"      TV -                        Apr 16, 1986              ",,      TV ,Action,Space,Sci-Fi,,,3,,,
AKB48 Stage Fighter,"Oct 28, 2011",5.18,866,N/A,Action,1 ep,Game,"      Special -                        Oct 28, 2011              ",,      Special ,Action,,,,,1,,,
Chiruran: Nibun no Ichi Special,"May 26, 2017",5.54,861,N/A,"Action,Comedy,Historical",1 ep,Manga,"      Special -                        May 26, 2017              ",,      Special ,Action,Comedy,Historical,,,3,,,
MAPS: Densetsu no Samayoeru Seijin-tachi,"Jul 14, 1987",5.81,854,N/A,"Action,Sci-Fi,Adventure,Space,Drama,Shounen",1 ep,-,"      Movie -                        Jul 14, 1987              ",,      Movie ,Action,Sci-Fi,Adventure,Space,Drama,6,,,
Wellber no Monogatari: Kanashimi no Senshi Galahad no Banka,"Nov 11, 2007",5.76,854,N/A,"Action,Adventure,Comedy,Fantasy",1 ep,Original,"      OVA -                        Nov 11, 2007              ",,      OVA ,Action,Adventure,Comedy,Fantasy,,4,,,
Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,"Sep 13, 2003",6.25,851,N/A,"Action,Mecha,Super Power,Sci-Fi,Shounen",1 ep,-,"      Movie -                        Sep 13, 2003              ",,      Movie ,Action,Mecha,Super Power,Sci-Fi,Shounen,5,,,
Rokudenashi Blues 1993,"Jul 24, 1993",6.26,850,Toei Animation,"Action,Comedy,School,Drama,Sports,Shounen",1 ep,-,"      Movie -                        Jul 24, 1993              ",,      Movie ,Action,Comedy,School,Drama,Sports,6,,,
Time Bokan Series: Time Patroltai Otasukeman,"Feb 2, 1980",6.19,848,Tatsunoko Production,"Action,Adventure,Comedy,Sci-Fi",53 eps,-,"      TV -                        Feb 2, 1980              ",,      TV ,Action,Adventure,Comedy,Sci-Fi,,4,,,
Video Senshi Lezarion,"Mar 4, 1984",6.41,848,Toei Animation,"Action,Mecha,Sci-Fi",45 eps,-,"      TV -                        Mar 4, 1984              ","Discotek Media,",      TV ,Action,Mecha,Sci-Fi,,,3,Discotek Media,,
Izakaya no Ichiya,"Jun 6, 1936",5.22,846,N/A,Action,1 ep,Original,"      Movie -                        Jun 6, 1936              ",,      Movie ,Action,,,,,1,,,
The Borgman: Last Battle,"Sep 16, 1989",6.04,842,Production Reed,"Action,Sci-Fi,Demons",1 ep,Other,"      OVA -                        Sep 16, 1989              ",,      OVA ,Action,Sci-Fi,Demons,,,3,,,
Doubutsu Mura no Sports Day,"??? ??, 1932",5.1,841,N/A,Action,1 ep,Original,"      Movie -                        ??? ??, 1932              ",,      Movie ,Action,,,,,1,,,
Kagaku Kyuujo-tai TechnoVoyager,"Apr 17, 1982, 19:30 (JST)",6.08,841,Toei Animation,"Action,Adventure,Mecha,Sci-Fi,Space",18 eps,-,"      TV -                        Apr 17, 1982, 19:30 (JST)              ",,      TV ,Action,Adventure,Mecha,Sci-Fi,Space,5,,,
Ahiru Rikusentai,"??? ??, 1940",5.16,840,N/A,"Action,Military,Historical,Kids",1 ep,Original,"      Movie -                        ??? ??, 1940              ",,      Movie ,Action,Military,Historical,Kids,,4,,,
Wan Wan Chuushingura,"Dec 21, 1963",5.65,835,Toei Animation,"Action,Adventure,Drama,Fantasy",1 ep,-,"      Movie -                        Dec 21, 1963              ",,      Movie ,Action,Adventure,Drama,Fantasy,,4,,,
Baku Tech! Bakugan Gachi Special,"Feb 5, 2014",5.59,833,N/A,"Action,Game,Shounen",1 ep,Manga,"      ONA -                        Feb 5, 2014              ",,      ONA ,Action,Game,Shounen,,,3,,,
Makyuu Senjou,"Mar 22, 1991",5.1,833,N/A,"Action,Sci-Fi",2 eps,-,"      OVA -                        Mar 22, 1991              ",,      OVA ,Action,Sci-Fi,,,,2,,,
Tie Shan Gongzhu,"Jan 1, 1941",5.47,833,N/A,"Action,Adventure,Fantasy",1 ep,Other,"      Movie -                        Jan 1, 1941              ",,      Movie ,Action,Adventure,Fantasy,,,3,,,
Time Bokan Series: Gyakuten Ippatsuman,"Feb 13, 1982",5.88,833,Tatsunoko Production,"Action,Comedy,Mecha,Sci-Fi",58 eps,-,"      TV -                        Feb 13, 1982              ",,      TV ,Action,Comedy,Mecha,Sci-Fi,,4,,,
Ougon Senshi Gold Lightan,"Mar 1, 1981",6.07,831,Tatsunoko Production,"Action,Sci-Fi,Adventure,Mecha",52 eps,Original,"      TV -                        Mar 1, 1981              ",,      TV ,Action,Sci-Fi,Adventure,Mecha,,4,,,
Pokemon Diamond & Pearl Atsumare! Pokemon Planet Center,"Jul 2, 2006",6.41,830,N/A,"Action,Adventure,Comedy,Kids,Fantasy",1 ep,Game,"      Movie -                        Jul 2, 2006              ",,      Movie ,Action,Adventure,Comedy,Kids,Fantasy,5,,,
Play Ball,"Jul 5, 2005",6.06,826,Eiken,"Action,Sports,Shounen",13 eps,Manga,"      TV -                        Jul 5, 2005              ",,      TV ,Action,Sports,Shounen,,,3,,,
Yomigaeru Sora Pilot,"Oct 27, 2006",6.18,825,J.C.Staff,"Action,Military,Seinen",1 ep,Original,"      Special -                        Oct 27, 2006              ",,      Special ,Action,Military,Seinen,,,3,,,
Chou Dendou Robo Tetsujin 28-gou FX,"Apr 5, 1992",6.09,823,N/A,"Action,Adventure,Mecha,Sci-Fi",47 eps,-,"      TV -                        Apr 5, 1992              ",,      TV ,Action,Adventure,Mecha,Sci-Fi,,4,,,
Kyomu Senshi Miroku,"Jan 10, 1989",5.96,822,N/A,"Action,Sci-Fi,Historical,Demons,Supernatural,Samurai,Fantasy",6 eps,Manga,"      OVA -                        Jan 10, 1989              ",,      OVA ,Action,Sci-Fi,Historical,Demons,Supernatural,7,,,
Shinkansen Henkei Robo Shinkalion: Mirai kara Kita Shinsoku no ALFA-X,"Dec 27, 2019",6.71,821,OLM,"Action,Sci-Fi,Kids,Mecha",1 ep,Other,"      Movie -                        Dec 27, 2019              ",,      Movie ,Action,Sci-Fi,Kids,Mecha,,4,,,
Karakuri Circus,"??? ??, 1998",5.7,820,N/A,"Action,Mystery,Shounen",1 ep,Manga,"      Special -                        ??? ??, 1998              ",,      Special ,Action,Mystery,Shounen,,,3,,,
Anison Nippon,"Feb 5, 2014",5.19,817,N/A,"Action,Sci-Fi,Music",1 ep,Original,"      ONA -                        Feb 5, 2014              ",,      ONA ,Action,Sci-Fi,Music,,,3,,,
Pony Metal U-GAIM Promotion Film,"??? ??, 1986",5.58,817,N/A,"Action,Mecha,Music,Parody,Sci-Fi",1 ep,-,"      Special -                        ??? ??, 1986              ",,      Special ,Action,Mecha,Music,Parody,Sci-Fi,5,,,
Cyborg 009: The Cyborg Soldier - Kami no Ubugoe,"Aug 27, 2003",6.4,813,N/A,"Action,Sci-Fi,Adventure,Mecha,Shounen",1 ep,Manga,"      Special -                        Aug 27, 2003              ","Discotek Media,",      Special ,Action,Sci-Fi,Adventure,Mecha,Shounen,5,Discotek Media,,
