Anime Title,Date of Release,Score,Member,Producer,Genre,Number of Episodes,Sources,Format,Licensor,Format0,Genre0,Genre1,Genre2,Genre3,Genre4,Genre Count,Licensor0,Licensor1,Licensor2
Noragami Aragoto,"Oct 3, 2015, 01:05 (JST)",8.2,1116442,Bones,"Action,Adventure,Comedy,Supernatural,Shounen",13 eps,Manga,"      TV -                        Oct 3, 2015, 01:05 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Supernatural,Shounen,5,Funimation,,
Jujutsu Kaisen (TV),"Oct 3, 2020, 01:25 (JST)",8.78,1106247,MAPPA,"Action,Demons,Supernatural,School,Shounen",24 eps,Manga,"      TV -                        Oct 3, 2020, 01:25 (JST)              ",,      TV ,Action,Demons,Supernatural,School,Shounen,5,,,
One Punch Man 2nd Season,"Apr 10, 2019, 01:35 (JST)",7.41,1105622,J.C.Staff,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural",12 eps,Web manga,"      TV -                        Apr 10, 2019, 01:35 (JST)              ","VIZ Media,",      TV ,Action,Sci-Fi,Comedy,Parody,Super Power,6,VIZ Media,,
Boku no Hero Academia 4th Season,"Oct 12, 2019, 17:30 (JST)",8.02,1103299,Bones,"Action,Comedy,Super Power,School,Shounen",25 eps,Manga,"      TV -                        Oct 12, 2019, 17:30 (JST)              ","Funimation,",      TV ,Action,Comedy,Super Power,School,Shounen,5,Funimation,,
JoJo no Kimyou na Bouken (TV),"Oct 6, 2012, 00:30 (JST)",8.0,1086594,David Production,"Action,Adventure,Supernatural,Vampire,Shounen",26 eps,Manga,"      TV -                        Oct 6, 2012, 00:30 (JST)              ","VIZ Media,Warner Bros. Pictures,",      TV ,Action,Adventure,Supernatural,Vampire,Shounen,5,VIZ Media,Warner Bros. Pictures,
Shingeki no Kyojin: The Final Season,"Dec 7, 2020, 00:10 (JST)",9.02,1072333,MAPPA,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",16 eps,Manga,"      TV -                        Dec 7, 2020, 00:10 (JST)              ","Funimation,",      TV ,Action,Military,Mystery,Super Power,Drama,7,Funimation,,
Tate no Yuusha no Nariagari,"Jan 9, 2019, 22:00 (JST)",8.0,1015174,Kinema Citrus,"Action,Adventure,Drama,Fantasy",25 eps,Light novel,"      TV -                        Jan 9, 2019, 22:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Drama,Fantasy,,4,Funimation,,
Guilty Crown,"Oct 14, 2011, 01:15 (JST)",7.49,999919,Production I.G,"Action,Sci-Fi,Super Power,Drama,Romance,Mecha",22 eps,Original,"      TV -                        Oct 14, 2011, 01:15 (JST)              ","Funimation,",      TV ,Action,Sci-Fi,Super Power,Drama,Romance,6,Funimation,,
Deadman Wonderland,"Apr 17, 2011, 01:00 (JST)",7.2,995963,Manglobe,"Action,Horror,Sci-Fi,Shounen,Supernatural",12 eps,Manga,"      TV -                        Apr 17, 2011, 01:00 (JST)              ","Funimation,",      TV ,Action,Horror,Sci-Fi,Shounen,Supernatural,5,Funimation,,
Black Clover,"Oct 3, 2017, 18:25 (JST)",7.98,992050,Studio Pierrot,"Action,Comedy,Magic,Fantasy,Shounen",170 eps,Manga,"      TV -                        Oct 3, 2017, 18:25 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Comedy,Magic,Fantasy,Shounen,5,Crunchyroll,Funimation,
Ansatsu Kyoushitsu 2nd Season,"Jan 8, 2016, 01:25 (JST)",8.53,989574,Lerche,"Action,Comedy,School,Shounen",25 eps,Manga,"      TV -                        Jan 8, 2016, 01:25 (JST)              ","Funimation,",      TV ,Action,Comedy,School,Shounen,,4,Funimation,,
Owari no Seraph,"Apr 4, 2015, 22:00 (JST)",7.49,958624,Wit Studio,"Action,Military,Supernatural,Drama,Vampire,Shounen",12 eps,Manga,"      TV -                        Apr 4, 2015, 22:00 (JST)              ","Funimation,",      TV ,Action,Military,Supernatural,Drama,Vampire,6,Funimation,,
Samurai Champloo,"May 20, 2004, 10:30 (JST)",8.5,952185,Manglobe,"Action,Adventure,Comedy,Historical,Samurai,Shounen",26 eps,Original,"      TV -                        May 20, 2004, 10:30 (JST)              ","Funimation,Geneon Entertainment USA,",      TV ,Action,Adventure,Comedy,Historical,Samurai,6,Funimation,Geneon Entertainment USA,
Dragon Ball Z,"Apr 26, 1989, 19:00 (JST)",8.15,949092,Toei Animation,"Action,Adventure,Comedy,Super Power,Martial Arts,Fantasy,Shounen",291 eps,Manga,"      TV -                        Apr 26, 1989, 19:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Super Power,Martial Arts,7,Funimation,,
Mob Psycho 100 II,"Jan 7, 2019, 23:00 (JST)",8.83,942641,Bones,"Action,Slice of Life,Comedy,Supernatural",13 eps,Web manga,"      TV -                        Jan 7, 2019, 23:00 (JST)              ","Funimation,",      TV ,Action,Slice of Life,Comedy,Supernatural,,4,Funimation,,
Mononoke Hime,"Jul 12, 1997",8.71,933728,Studio Ghibli,"Action,Adventure,Fantasy",1 ep,Original,"      Movie -                        Jul 12, 1997              ","GKIDS,",      Movie ,Action,Adventure,Fantasy,,,3,GKIDS,,
Kuroshitsuji,"Oct 3, 2008",7.72,929578,A-1 Pictures,"Action,Mystery,Comedy,Historical,Demons,Supernatural,Shounen",24 eps,Manga,"      TV -                        Oct 3, 2008              ","Aniplex of America,Funimation,",      TV ,Action,Mystery,Comedy,Historical,Demons,7,Aniplex of America,Funimation,
Log Horizon,"Oct 5, 2013, 17:30 (JST)",7.98,918404,Satelight,"Action,Game,Adventure,Magic,Fantasy",25 eps,Light novel,"      TV -                        Oct 5, 2013, 17:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Game,Adventure,Magic,Fantasy,5,Sentai Filmworks,,
Bungou Stray Dogs,"Apr 7, 2016, 01:05 (JST)",7.79,880794,Bones,"Action,Comedy,Mystery,Seinen,Super Power,Supernatural",12 eps,Manga,"      TV -                        Apr 7, 2016, 01:05 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Comedy,Mystery,Seinen,Super Power,6,Crunchyroll,Funimation,
Fate/Zero 2nd Season,"Apr 8, 2012, 00:00 (JST)",8.59,861250,ufotable,"Action,Supernatural,Magic,Fantasy",12 eps,Light novel,"      TV -                        Apr 8, 2012, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Supernatural,Magic,Fantasy,,4,Aniplex of America,,
Tensei shitara Slime Datta Ken,"Oct 2, 2018, 00:00 (JST)",8.08,856886,8bit,"Action,Adventure,Comedy,Demons,Magic,Fantasy",24 eps,Light novel,"      TV -                        Oct 2, 2018, 00:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Demons,Magic,6,Funimation,,
Nanatsu no Taizai: Imashime no Fukkatsu,"Jan 13, 2018, 06:30 (JST)",7.76,825915,A-1 Pictures,"Action,Adventure,Fantasy,Magic,Shounen,Supernatural",24 eps,Manga,"      TV -                        Jan 13, 2018, 06:30 (JST)              ",,      TV ,Action,Adventure,Fantasy,Magic,Shounen,6,,,
Magi: The Labyrinth of Magic,"Oct 7, 2012, 17:00 (JST)",8.05,819919,A-1 Pictures,"Action,Adventure,Fantasy,Magic,Shounen",25 eps,Manga,"      TV -                        Oct 7, 2012, 17:00 (JST)              ","Aniplex of America,",      TV ,Action,Adventure,Fantasy,Magic,Shounen,5,Aniplex of America,,
Mahouka Koukou no Rettousei,"Apr 6, 2014, 00:30 (JST)",7.49,809366,Madhouse,"Action,Magic,Romance,School,Sci-Fi,Supernatural",26 eps,Light novel,"      TV -                        Apr 6, 2014, 00:30 (JST)              ","Aniplex of America,",      TV ,Action,Magic,Romance,School,Sci-Fi,6,Aniplex of America,,
Enen no Shouboutai,"Jul 6, 2019, 01:25 (JST)",7.67,809350,David Production,"Action,Supernatural,Shounen",24 eps,Manga,"      TV -                        Jul 6, 2019, 01:25 (JST)              ","Funimation,",      TV ,Action,Supernatural,Shounen,,,3,Funimation,,
Gintama,"Apr 4, 2006, 18:00 (JST)",8.95,807271,Sunrise,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",201 eps,Manga,"      TV -                        Apr 4, 2006, 18:00 (JST)              ","Crunchyroll,Sentai Filmworks,",      TV ,Action,Comedy,Historical,Parody,Samurai,7,Crunchyroll,Sentai Filmworks,
Fate/stay night: Unlimited Blade Works,"Oct 12, 2014, 00:00 (JST)",8.21,790893,ufotable,"Action,Supernatural,Magic,Fantasy",12 eps,Visual novel,"      TV -                        Oct 12, 2014, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Supernatural,Magic,Fantasy,,4,Aniplex of America,,
Tokyo Ghoul:re,"Apr 3, 2018, 23:00 (JST)",6.46,790081,Pierrot Plus,"Action,Psychological,Supernatural,Mystery,Drama,Horror,Seinen",12 eps,Manga,"      TV -                        Apr 3, 2018, 23:00 (JST)              ","Funimation,",      TV ,Action,Psychological,Supernatural,Mystery,Drama,7,Funimation,,
Darker than Black: Kuro no Keiyakusha,"Apr 6, 2007",8.1,785075,Bones,"Action,Sci-Fi,Mystery,Super Power",25 eps,Original,"      TV -                        Apr 6, 2007              ","Funimation,",      TV ,Action,Sci-Fi,Mystery,Super Power,,4,Funimation,,
Vinland Saga,"Jul 8, 2019, 00:10 (JST)",8.71,779924,Wit Studio,"Action,Adventure,Drama,Historical,Seinen",24 eps,Manga,"      TV -                        Jul 8, 2019, 00:10 (JST)              ",,      TV ,Action,Adventure,Drama,Historical,Seinen,5,,,
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Apr 5, 2014, 00:30 (JST)",8.1,775653,David Production,"Action,Adventure,Supernatural,Drama,Shounen",24 eps,Manga,"      TV -                        Apr 5, 2014, 00:30 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Supernatural,Drama,Shounen,5,VIZ Media,,
Dororo,"Jan 7, 2019, 22:30 (JST)",8.2,773192,MAPPA,"Action,Adventure,Demons,Historical,Samurai,Shounen,Supernatural",24 eps,Manga,"      TV -                        Jan 7, 2019, 22:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Adventure,Demons,Historical,Samurai,7,Sentai Filmworks,,
Goblin Slayer,"Oct 7, 2018, 00:30 (JST)",7.44,771866,White Fox,"Action,Adventure,Fantasy",12 eps,Light novel,"      TV -                        Oct 7, 2018, 00:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Fantasy,,,3,Funimation,,
Fate/stay night,"Jan 7, 2006, 01:30 (JST)",7.32,770897,Studio Deen,"Action,Supernatural,Magic,Romance,Fantasy",24 eps,Visual novel,"      TV -                        Jan 7, 2006, 01:30 (JST)              ","Geneon Entertainment USA,Sentai Filmworks,",      TV ,Action,Supernatural,Magic,Romance,Fantasy,5,Geneon Entertainment USA,Sentai Filmworks,
Fairy Tail (2014),"Apr 5, 2014, 10:30 (JST)",7.69,760335,A-1 Pictures,"Action,Adventure,Comedy,Fantasy,Magic,Shounen",102 eps,Manga,"      TV -                        Apr 5, 2014, 10:30 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Fantasy,Magic,6,Funimation,,
Black Bullet,"Apr 8, 2014, 22:30 (JST)",7.15,748387,Kinema Citrus,"Action,Sci-Fi,Mystery,Seinen",13 eps,Light novel,"      TV -                        Apr 8, 2014, 22:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Sci-Fi,Mystery,Seinen,,4,Sentai Filmworks,,
Black Lagoon,"Apr 9, 2006, 02:35 (JST)",8.04,748174,Madhouse,"Action,Seinen",12 eps,Manga,"      TV -                        Apr 9, 2006, 02:35 (JST)              ","Funimation,Geneon Entertainment USA,",      TV ,Action,Seinen,,,,2,Funimation,Geneon Entertainment USA,
Baccano!,"Jul 27, 2007, 00:30 (JST)",8.41,745020,Brain's Base,"Action,Comedy,Historical,Mystery,Supernatural",13 eps,Light novel,"      TV -                        Jul 27, 2007, 00:30 (JST)              ","Aniplex of America,Funimation,",      TV ,Action,Comedy,Historical,Mystery,Supernatural,5,Aniplex of America,Funimation,
Devilman: Crybaby,"Jan 5, 2018",7.81,739004,Science SARU,"Action,Dementia,Demons,Horror,Supernatural",10 eps,Manga,"      ONA -                        Jan 5, 2018              ",,      ONA ,Action,Dementia,Demons,Horror,Supernatural,5,,,
Sword Art Online: Alicization,"Oct 7, 2018, 00:00 (JST)",7.56,720186,A-1 Pictures,"Action,Game,Adventure,Romance,Fantasy",24 eps,Light novel,"      TV -                        Oct 7, 2018, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Game,Adventure,Romance,Fantasy,5,Aniplex of America,,
High School DxD New,"Jul 7, 2013, 20:30 (JST)",7.52,716234,TNK,"Action,Harem,Comedy,Demons,Romance,Ecchi,School",12 eps,Light novel,"      TV -                        Jul 7, 2013, 20:30 (JST)              ","Funimation,",      TV ,Action,Harem,Comedy,Demons,Romance,7,Funimation,,
Hellsing Ultimate,"Feb 10, 2006",8.39,713013,Graphinica,"Action,Military,Horror,Supernatural,Vampire,Seinen",10 eps,Manga,"      OVA -                        Feb 10, 2006              ","Funimation,Geneon Entertainment USA,",      OVA ,Action,Military,Horror,Supernatural,Vampire,6,Funimation,Geneon Entertainment USA,
